652,654,656,651,652,655,654,635,651,651,646,647,652,647,650,646,646,652,655,649,651,655,653,648,657,661,639,652,650,656,656,0
654,656,658,653,654,657,656,637,653,653,648,649,654,649,652,648,648,654,657,651,653,657,655,650,659,663,641,654,652,658,0,656
654,656,658,653,654,657,656,637,653,653,648,649,654,649,652,648,648,654,657,651,653,657,655,650,659,663,641,654,652,0,658,656
648,650,652,647,648,651,650,631,647,647,642,643,648,643,646,642,642,648,651,645,647,651,649,644,653,657,635,648,0,652,652,650
650,652,654,649,650,653,652,633,649,649,644,645,650,645,648,644,644,650,653,647,649,653,651,646,655,659,637,0,648,654,654,652
637,639,641,636,637,640,639,620,636,636,631,632,637,632,635,631,631,637,640,634,636,640,638,633,642,646,0,637,635,641,641,639
659,661,663,658,659,662,661,642,658,658,653,654,659,654,657,653,653,659,662,656,658,662,660,655,664,0,646,659,657,663,663,661
655,657,659,654,655,658,657,638,654,654,649,650,655,650,653,649,649,655,658,652,654,658,656,651,0,664,642,655,653,659,659,657
646,648,650,645,646,649,648,629,645,645,640,641,646,641,644,640,640,646,649,643,645,649,647,0,651,655,633,646,644,650,650,648
651,653,655,650,651,654,653,634,650,650,645,646,651,646,649,645,645,651,654,648,650,654,0,647,656,660,638,651,649,655,655,653
653,655,657,652,653,656,655,636,652,652,647,648,653,648,651,647,647,653,656,650,652,0,654,649,658,662,640,653,651,657,657,655
649,651,653,648,649,652,651,632,648,648,643,644,649,644,647,643,643,649,652,646,0,652,650,645,654,658,636,649,647,653,653,651
647,649,651,646,647,650,649,630,646,646,641,642,647,642,645,641,641,647,650,0,646,650,648,643,652,656,634,647,645,651,651,649
653,655,657,652,653,656,655,636,652,652,647,648,653,648,651,647,647,653,0,650,652,656,654,649,658,662,640,653,651,657,657,655
650,652,654,649,650,653,652,633,649,649,644,645,650,645,648,644,644,0,653,647,649,653,651,646,655,659,637,650,648,654,654,652
644,646,648,643,644,647,646,627,643,643,638,639,644,639,642,638,0,644,647,641,643,647,645,640,649,653,631,644,642,648,648,646
644,646,648,643,644,647,646,627,643,643,638,639,644,639,642,0,638,644,647,641,643,647,645,640,649,653,631,644,642,648,648,646
648,650,652,647,648,651,650,631,647,647,642,643,648,643,0,642,642,648,651,645,647,651,649,644,653,657,635,648,646,652,652,650
645,647,649,644,645,648,647,628,644,644,639,640,645,0,643,639,639,645,648,642,644,648,646,641,650,654,632,645,643,649,649,647
650,652,654,649,650,653,652,633,649,649,644,645,0,645,648,644,644,650,653,647,649,653,651,646,655,659,637,650,648,654,654,652
645,647,649,644,645,648,647,628,644,644,639,0,645,640,643,639,639,645,648,642,644,648,646,641,650,654,632,645,643,649,649,647
644,646,648,643,644,647,646,627,643,643,0,639,644,639,642,638,638,644,647,641,643,647,645,640,649,653,631,644,642,648,648,646
649,651,653,648,649,652,651,632,648,0,643,644,649,644,647,643,643,649,652,646,648,652,650,645,654,658,636,649,647,653,653,651
649,651,653,648,649,652,651,632,0,648,643,644,649,644,647,643,643,649,652,646,648,652,650,645,654,658,636,649,647,653,653,651
633,635,637,632,633,636,635,0,632,632,627,628,633,628,631,627,627,633,636,630,632,636,634,629,638,642,620,633,631,637,637,635
652,654,656,651,652,655,0,635,651,651,646,647,652,647,650,646,646,652,655,649,651,655,653,648,657,661,639,652,650,656,656,654
653,655,657,652,653,0,655,636,652,652,647,648,653,648,651,647,647,653,656,650,652,656,654,649,658,662,640,653,651,657,657,655
650,652,654,649,0,653,652,633,649,649,644,645,650,645,648,644,644,650,653,647,649,653,651,646,655,659,637,650,648,654,654,652
649,651,653,0,649,652,651,632,648,648,643,644,649,644,647,643,643,649,652,646,648,652,650,645,654,658,636,649,647,653,653,651
654,656,0,653,654,657,656,637,653,653,648,649,654,649,652,648,648,654,657,651,653,657,655,650,659,663,641,654,652,658,658,656
652,0,656,651,652,655,654,635,651,651,646,647,652,647,650,646,646,652,655,649,651,655,653,648,657,661,639,652,650,656,656,654
0,652,654,649,650,653,652,633,649,649,644,645,650,645,648,644,644,650,653,647,649,653,651,646,655,659,637,650,648,654,654,652
